"bad_num","mid_num","good_num","dis_num","cmmt_num","consume","ord_cnt","sale_amt","user_cnt","rtn_amt","rtn_cnt","offer_amt","offer_cnt","sale_nextmonth"
0,0,55,0,55,0,64,9137.58,64,658.13,11,265.62,14,15682.47
0,3,50,1,53,0,96,15682.47,96,357.58,6,211.54,24,10462.42
0,0,20,4,20,0,64,10462.42,64,0,0,0,0,14307.25
0,0,64,4,64,0,86,14307.25,86,1134.54,15,0,0,14683.19
0,1,83,0,84,0,100,14683.19,100,457.65,4,0,0,13211.36
13,40,177,22,230,0,604,28408.74,600,856.41,20,244.62,205,31877.9
18,8,110,13,136,0,406,31877.9,406,1124.53,18,865.420000000001,161,26686.95
13,11,132,15,156,0,398,26686.95,398,883.12,25,564.88,133,39542.1500000001
14,19,199,8,232,0,450,39542.1500000001,450,819.64,15,1523.61,316,25581.73
6,7,101,11,114,0,237,25581.73,237,1028.97,17,332.07,74,28672.96
5,1,73,8,79,0,250,28672.96,250,845.02,9,0,0,27211.19
4,6,66,3,76,0,317,27211.19,317,499.95,9,48,3,23750.78
5,6,146,7,157,0,342,23750.78,342,648.45,16,201.05,73,24663.16
2,4,85,17,91,1204145.78,692,46576.45,691,220.36,9,5996.23000000002,556,54308.8399999999
0,7,141,13,148,1176250.82,775,54308.8399999999,768,286.13,12,7611.75000000002,662,51286.0199999999
5,5,175,19,185,791487.18,717,51286.0199999999,717,348,12,6010.68000000001,586,44294.28
4,11,218,16,233,638881.05,622,44294.28,621,212.15,7,5968.73000000002,477,37285.97
0,5,188,20,193,753209.86,504,37285.97,503,297.99,8,4164.78,394,23548.67
6,5,103,4,114,345343.36,319,23548.67,318,192.39,6,2404.61,259,31098.8
1,2,93,22,96,305671.73,463,31098.8,460,267.81,9,4119.5,351,47346.62
2,6,171,20,179,671669.36,772,47346.62,771,482.1,14,7185.30000000001,642,36546.4200000001
0,0,10,1,10,0,61,9244.95000000001,60,255.31,3,0,0,23091.78
0,0,26,2,26,0,125,23091.78,125,759.59,8,406.64,14,27842.94
0,1,18,2,19,0,114,27842.94,114,1707.7,14,0,0,25221.31
1,0,29,4,30,0,94,25221.31,94,1338.35,11,0,0,26521.37
0,1,30,2,31,0,106,26521.37,106,1650.29,15,1357.4,72,20786.86
0,4,29,3,33,0,90,20786.86,89,873.33,8,1184.51,90,13236.81
1,1,35,1,37,0,66,13236.81,66,814.49,8,80.93,7,22495.11
1,2,33,3,36,0,120,22495.11,119,1481.81,18,118.46,6,16051.82
0,4,3461,305,3465,9587.1,1769,57777.7100000001,1762,0,0,7587.13999999999,1752,43916.6200000001
2,3,2117,62,2122,4055.13,1307,43916.6200000001,1307,38.26,2,5080.54999999999,1275,58956.0400000001
6,2,4395,79,4403,26890.67,1749,58956.0400000001,1749,0,0,9498.45000000002,1719,61677.1600000001
8,9,6887,35,6904,3412.39,1749,61677.1600000001,1745,186.89,9,9944.09999999998,1710,59012.9600000002
4,5,4595,27,4604,3598.1,1520,59012.9600000002,1520,0,0,8133.97,1151,48606.33
3,4,3885,23,3892,181.2,1207,48606.33,1207,96.93,3,6239.62,868,43111.7200000001
11,4,2659,4,2674,0,1096,43111.7200000001,1096,0,0,5752.2,833,44257.9500000001
3,13,4383,5,4399,32.22,1296,44257.9500000001,1296,20.6,1,7594.28,1083,72737.04
0,1,2,0,3,0,32,3798.54,32,76.89,2,80.58,13,19908.52
2,1,43,9,46,49705.95,149,19908.52,149,842.24,17,3378.49,120,49814.6
1,17,108,4,126,65104.04,298,49814.6,298,934.76,14,9489.7,289,124903.33
1,6,164,6,171,121207.62,705,124903.33,705,2714.15,31,27614.6100000001,696,84193.1900000001
4,1,236,10,241,0,425,84193.1900000001,425,3057.8,33,17139.22,409,24339.51
3,5,55,10,63,0,128,24339.51,127,1411.55,14,1956.41,59,10066.87
9,0,36,9,45,0,59,10066.87,59,561.38,4,99.69,5,21716.93
1,3,43,9,47,0,131,21716.93,131,1640.74,20,487.04,19,9304.44
0,0,299,5,299,168973.34,379,47452.88,379,951.67,14,5455.84000000001,378,80736.9300000001
0,3,354,18,357,538895.57,599,80736.9300000001,599,933.65,16,4742.20000000001,597,89980.8199999999
3,3,356,19,362,80981.58,652,89980.8199999999,652,1661.69,26,4354.56000000001,628,94603.14
3,15,655,24,673,310632.52,794,94603.14,794,2650.88,37,16356.2200000001,673,74069.1900000001
3,9,969,20,981,99851.02,664,74069.1900000001,664,2765.77,36,21307.6700000001,629,49961.06
1,5,472,11,478,9941.9,360,49961.06,360,1894.93,22,5843.65000000001,338,43123.83
1,0,521,9,522,47209.17,438,43123.83,438,389.22,6,9519.03,385,108217.57
3,5,1150,15,1158,119396.42,993,108217.57,993,1147.43,19,14921.3,979,124661.45
0,0,38,3,38,5118.34,114,12922.78,114,0,0,638.65,50,20917.28
0,0,202,39,202,192301.2,250,20917.28,249,163.7,3,1071.99,137,4189.28
2,2,178,0,182,328257.5,81,4189.28,81,65.48,3,54.11,7,15128.07
0,7,51,4,58,118965.63,281,15128.07,281,824.04,37,166.41,49,65160.68
16,16,355,53,387,27819.84,823,65160.68,820,891.43,25,3019.7,339,47821.5999999999
8,14,239,47,261,94207.82,547,47821.5999999999,544,290.26,7,5748.64999999999,449,28741.6
6,9,154,10,169,0,328,28741.6,328,246.47,5,3501.09999999999,266,14284.02
1,5,77,4,83,0,160,14284.02,159,300.64,6,695.59,50,3103.09
1,3,176,1,180,1991334.09,547,65234.2899999999,547,3652.12,69,4206.15000000001,547,86468.4000000002
2,11,1325,4,1338,970184.46,843,86468.4000000002,843,6311.02,119,13409.55,799,113249.43
8,12,3274,23,3294,1064681.26,1237,113249.43,1236,5268.92,105,21882.4399999999,1078,132397.33
7,29,4666,45,4702,798394.66,1829,132397.33,1818,5885.69,186,22334.1599999999,1077,98366.5400000002
17,51,1783,32,1851,749173.18,1177,98366.5400000002,1169,5538.84,150,8179.48000000001,731,57811.06
11,15,266,15,292,288601.28,715,57811.06,714,1872.93,57,3373.22000000001,426,81360.81
8,30,3507,22,3545,165817.25,1217,81360.81,1215,3345.58,107,14494.04,832,90943.5100000001
12,24,608,53,644,280767.88,1412,90943.5100000001,1407,5208.15,194,7842.62000000001,771,85772.0200000001
0,1,176,8,177,728820.58,409,65011.7000000001,408,2637.7,32,2020.03,331,70005.2800000001
2,18,228,11,248,32359.28,509,70005.2800000001,507,893.95,12,310.17,28,28849.7500000001
1,1,211,19,213,6560.99,252,28849.7500000001,252,226.61,4,246.48,64,19937.86
2,1,161,11,164,121582.08,189,19937.86,189,69.53,1,944.62,124,14463.93
6,2,56,1,64,30024.34,95,14463.93,95,772.9,9,377.54,72,7984.5
0,2,11,0,13,44931.08,47,7984.5,47,379.65,4,17.64,6,34831.24
0,0,97,0,97,39684.44,192,34831.24,192,556.22,6,81.66,17,45153.25
0,0,124,3,124,83294.84,240,45153.25,236,1827.25,17,290.6,35,32217.84
5,5,5044,58,5054,0,2627,263109.47,2626,1749.41,36,82.4,8,235292.01
2,4,5194,17,5200,0,2485,235292.01,2484,2147.57,48,299.86,27,277938.4
6,17,2329,38,2352,0,2993,277938.4,2992,2087.64,44,311.3,30,305666.83
26,10,3428,50,3464,0,3757,305666.83,3757,786.16,22,1188.01,119,127606.04
4,5,1305,18,1314,0,1525,127606.04,1524,275.91,6,1335.02,93,55073.0699999999
8,3,1115,8,1126,0,772,55073.0699999999,770,131.33,3,10.3,1,203352.61
0,4,4369,2,4373,0,2727,203352.61,2725,400.26,12,30.9,3,256907.73
10,4,736,3,750,0,3207,256907.73,3203,465.97,12,204.92,23,227108.61
2,6,2840,8,2848,83240.41,1594,84423.3,1594,969.72,35,19918.14,1202,93566.4100000001
6,8,4916,75,4930,0,1827,93566.4100000001,1827,694.8,24,37223.49,1399,122594.3
9,14,3099,26,3122,0,1895,122594.3,1895,1399.76,35,817651.479999999,1383,178370.84
18,23,1710,44,1751,0,1776,178370.84,1776,3319.43,59,1349824.62,1469,108855.13
14,11,1060,21,1085,0,946,108855.13,946,2127.18,35,1561153.61,536,57824.39
4,9,218,14,231,0,475,57824.39,475,923.38,14,1417040.07,110,66361.1399999999
6,4,445,6,455,0,708,66361.1399999999,708,376.06,7,2663.97,417,115271.54
1,9,1313,6,1323,0,1490,115271.54,1490,895.18,22,15298.04,1306,271142.1
0,2,375,12,377,466375.11,364,25084.47,364,329.26,5,7195.24,174,14539.34
9,6,451,49,466,151570.24,249,14539.34,249,54.45,1,7542.18,164,11564.06
1,6,390,17,397,147252.72,258,11564.06,258,109.63,3,7144.91,154,16810.02
0,1,993,52,994,71657.34,391,16810.02,391,224.92,10,12345.02,249,35128.95
0,15,1055,46,1070,87875.62,600,35128.95,599,773.65,18,24994.5,481,21030.63
2,1,729,27,732,47766.35,403,21030.63,403,308.1,14,13761.86,309,24885.77
0,4,859,15,863,16891.72,402,24885.77,402,715.64,21,14496.03,254,26998.8
9,3,564,41,576,57986.63,420,26998.8,420,515.97,10,19073.11,319,34310.2
2,6,13,0,21,0,132,18431.05,132,455.07,4,0,0,24226.14
5,2,26,5,33,0,191,24226.14,190,384.05,7,0,0,56258.87
2,7,160,3,169,28774.89,407,56258.87,405,1695.53,22,1406.64,159,70785.12
7,14,239,19,260,92876.08,591,70785.12,590,3463.95,43,2845.17,279,54331.6
8,9,285,7,302,9671.51,467,54331.6,461,2047.01,29,1165.14,142,42653.2
8,14,84,9,106,0,356,42653.2,355,1582.98,18,0,0,22671.7
7,3,44,2,54,0,184,22671.7,183,408.35,5,0,0,16154.92
3,4,279,4,286,0,223,16154.92,221,617.3,10,138.29,48,8281.05999999999
0,2,528,3,530,142957.7,350,22309.89,350,324.46,10,1629.78,114,63061.55
6,6,4686,65,4698,18816.53,1412,63061.55,1412,243.89,11,13317.72,1119,77931.2200000001
13,31,6170,36,6214,5428.34,1588,77931.2200000001,1586,277.37,13,8303.14999999999,1001,58706.9
6,15,2123,53,2144,13246.46,1192,58706.9,1189,734.99,39,1743.93,640,6682.70000000001
8,14,99,7,121,7187.74,156,6682.70000000001,156,103,4,227.4,83,0
1,6,14,0,21,0,0,0,0,0,0,0,0,26722.52
0,0,1032,1,1032,0,536,26722.52,536,33.19,1,5868.99999999999,535,81597.4800000001
2,0,4187,32,4189,13911.88,1616,81597.4800000001,1616,588.28,22,17318.51,1541,82710.7499999999
0,1,1,0,2,28557.67,21,1445.58,21,0,0,0,0,6518.53
0,2,13,1,15,232980.79,95,6518.53,95,0,0,51.15,28,14058.57
0,5,74,16,79,407847.02,177,14058.57,177,61.07,1,101.41,47,15604.05
5,3,63,9,71,377261.33,152,15604.05,152,360.89,8,286.08,62,6708.84
0,0,38,5,38,181176.84,77,6708.84,77,71.74,1,87.4999999999999,34,9286.94
1,0,24,3,25,154150.87,71,9286.94,71,71.74,1,37.84,16,7345.14
0,2,11,2,13,127884.76,63,7345.14,63,71.74,1,7.36,3,12122.88
1,2,16,1,19,219148.78,104,12122.88,103,250.16,5,90.1600000000001,47,10383.27
15,25,424,38,464,0,1603,71701.9300000006,1599,362,16,766.430000000005,552,57253.0100000001
10,24,398,20,432,0,1172,57253.0100000001,1171,359.08,17,156.09,102,67265.0299999998
11,40,526,50,577,0,1586,67265.0299999998,1583,340.68,14,0,0,69671.2000000002
9,21,560,28,590,0,1634,69671.2000000002,1631,306.84,13,0,0,78212.3500000006
6,10,517,37,533,0,1722,78212.3500000006,1718,182.11,9,0,0,48301.3899999999
16,4,535,17,555,0,1057,48301.3899999999,1057,158.58,9,0,0,77120.5700000003
5,8,376,51,389,224595.16,1527,77120.5700000003,1524,375.62,14,0,0,76455.09
7,8,394,25,409,28902.96,1546,76455.09,1545,373.04,13,0,0,46062.2799999999
0,1,1,0,2,0,16,2444.04,16,0,0,0,0,17989.34
1,0,8,0,9,483062.8,126,17989.34,126,374.86,7,0,0,34050.82
0,3,29,1,32,839746.24,175,34050.82,175,1046.25,10,22.08,3,61642.91
0,2,55,4,57,1207916.33,259,61642.91,259,2254.38,20,161.92,22,47957.6
0,1,60,12,61,710397.73,223,47957.6,223,2037.34,18,1020.54,47,23694.31
3,0,35,1,38,0,108,23694.31,108,1024.18,9,120.68,15,12314.2
0,1,15,1,16,125158.71,80,12314.2,80,131.33,2,0,0,25391.52
0,3,35,2,38,229609.8,179,25391.52,179,809.32,12,0,0,20765.28
112,81,924,106,1117,0,5470,91904.1900000027,5454,138.69,17,0,0,74904.7200000018
97,76,645,88,818,0,3394,74904.7200000018,3374,214.06,19,0,0,83925.2400000009
161,111,784,141,1056,0,3738,83925.2400000009,3723,259.33,22,0,0,103156.270000002
175,132,953,126,1260,0,4583,103156.270000002,4561,551.61,42,0,0,75593.3800000017
122,98,708,101,928,0,3421,75593.3800000017,3397,293.19,30,0,0,39099.5700000004
75,45,437,43,557,0,1706,39099.5700000004,1698,200.5,19,0,0,57497.2400000012
73,49,440,67,562,0,2582,57497.2400000012,2576,195.33,17,0,0,70955.9700000018
98,68,658,72,824,0,3214,70955.9700000018,3199,228.83,23,0,0,65436.9900000018
2,2,30,1,34,0,223,15885.99,223,458.35,13,0,0,17492.54
1,8,57,15,66,0,248,17492.54,248,409.07,11,123.59,16,18075.59
4,3,315,1,322,0,194,18075.59,194,408.98,8,1746,43,20268.7
5,5,57,7,67,0,168,20268.7,168,645.27,12,342.13,24,22151.07
0,4,33,3,37,0,167,22151.07,167,732.46,10,179.89,19,23387.53
2,2,29,2,33,0,164,23387.53,164,1075.31,15,175.49,29,6228.42
1,0,12,0,13,0,59,6228.42,59,288.41,3,0,0,23185.56
4,1,57,5,62,0,273,23185.56,273,631.2,16,300.66,29,30055.54
2,3,198,22,203,0,603,59274.6399999999,603,1054.81,25,5038.34999999999,455,61599.8100000001
4,9,346,38,359,0,590,61599.8100000001,590,716.63,15,4944.00999999999,560,62667.3800000002
0,5,317,21,322,99479.86,570,62667.3800000002,570,693.67,17,4217.46999999999,538,19753.14
4,1,197,15,202,33965.25,181,19753.14,181,453.01,10,2062.29,173,9294.77999999999
1,3,49,5,53,255.79,86,9294.77999999999,86,201.61,5,945.75,84,5930.04
0,2,27,9,29,0,60,5930.04,60,0,0,848.18,60,11663.06
2,1,30,5,33,0,115,11663.06,115,440.36,10,1331.27,114,26054.84
0,1,69,14,70,0,258,26054.84,258,404.13,10,2897.21,251,89222.7300000001
0,0,1749,2,1749,0,1434,278560.67,1434,286.21,4,114511.3,1434,189516.06
1,3,3551,2,3555,0,942,189516.06,942,1032.28,14,84102.2399999999,942,143907.96
2,2,939,2,943,0,655,143907.96,655,202.34,2,62717,655,141399.64
0,3,800,12,803,0,630,141399.64,630,314.55,3,58679.45,630,148918.46
3,2,816,5,821,0,675,148918.46,675,364.87,6,63922.31,675,77067.66
3,1,559,2,563,0,327,77067.66,327,586.03,5,28501.48,326,197130.85
1,0,871,1,872,0,893,197130.85,893,72.84,1,66753.93,887,288177.5
1,0,799,3,800,0,1314,288177.5,1314,189.83,2,95882.11,1294,49256.78
3,4,73,7,80,1046355.35,306,24077.09,306,314.55,8,5555.44,238,52131.98
3,3,216,10,222,1603815.55,635,52131.98,635,459.48,12,13316.23,523,44017.04
7,7,178,18,192,1687371.18,474,44017.04,474,341.02,9,7662.47,370,64750.14
14,22,170,14,206,1998088.37,728,64750.14,727,949.5,23,13610.82,603,26934.43
16,9,105,9,130,654257.06,308,26934.43,308,433.01,10,5798.97,264,13724.31
2,12,58,7,72,0,158,13724.31,158,245.82,6,2801.3,143,8157.15000000001
2,0,26,1,28,0,91,8157.15000000001,91,144.95,4,1446.52,62,30968.3
4,3,284,12,291,112714.11,430,30968.3,430,119.93,5,4737.88,306,32477.02
